objects_NAPALM.inv,130,0.11515661986055648
objects_tox.inv,88,0.0683006333228036
objects_matplotlib.inv,8953,7.64818928720864
objects_attrs.inv,56,0.03558660290635487
objects_sarge.inv,38,0.02755600001109997
objects_celery.inv,3923,3.458657090239697
objects_faker.inv,84,0.06208212610586372
objects_flake8.inv,382,0.3444451205225533
objects_nltk.inv,5116,5.172296742273704
objects_numpy.inv,5788,4.830400875248978
objects_scapy.inv,15,0.012303170722907453
objects_sqlalchemy.inv,5091,4.315117286601753
objects_bokeh.inv,5000,4.5330708350306566
objects_sklearn.inv,3770,3.4456311832337407
objects_yt.inv,17420,17.30672209541367
objects_mypy.inv,86,0.06447999298280252
objects_python.inv,11758,8.650611394120062
objects_requests.inv,204,0.17869077736821737
objects_pandas.inv,4350,3.9645195237969175
objects_pingo.inv,31,0.032406772669554586
objects_plone.inv,971,0.8242771353060278
objects_pygame.inv,730,0.49247837856100884
objects_cclib.inv,4,0.002771108091582164
objects_django_channels.inv,58,0.04141235044569953
objects_scrapy.inv,749,0.626478651977493
objects_scipy.inv,6749,5.791793671671792
objects_twython.inv,156,0.13935449598312744
objects_cookiecutter.inv,159,0.11767726735197641
objects_eyeD3.inv,908,0.8202465134454201
objects_beaker.inv,140,0.10308000554734634
objects_jsonschema.inv,78,0.06223058890839752
objects_flask.inv,471,0.40689920373364713
objects_pelican.inv,57,0.0405015217684138
objects_pyexcel.inv,252,0.21774874285688384
objects_pyserial.inv,166,0.1388799089033114
objects_click.inv,217,0.18250199432067973
objects_mistune.inv,36,0.02741383922237901
objects_coverage.inv,151,0.12183406777806453
objects_pytest.inv,466,0.3634280900709996
objects_sphinx.inv,1069,0.865545171610347
objects_tinydb.inv,82,0.06814130497913311
objects_pyqt.inv,3285,3.0031304809246535
objects_jinja2.inv,401,0.32361544360842914
objects_h5py.inv,159,0.12122711865208088
objects_opencv.inv,1144,0.6058922446509201
objects_psutil.inv,176,0.14105603971968889
objects_sympy.inv,4987,3.72812511729843
objects_hypothesis.inv,149,0.09890921820654626
objects_pdfminer.inv,6,0.004549224259631046
objects_gspread.inv,75,0.06063720669458803
objects_rocket.inv,5,0.0036870139398843095
objects_pymongo.inv,773,0.6657593413032487
